Startup,URL,Opportunity Space,Country,Business Description,Year Founded,"Maturity (Existing, Emerging, Distant)",Total funding (US$),RMI Terminology Funding Round
DeepLink SAS,www.credilike.com.co,Enterprise Financial Management,Colombia,"Línea B2B; Plataforma para importadores, ensambladores y concesionarios de autos, para la administración de las solicitudes de crédito para la compra de autos, como resultado tiene la información en línea (drill down), maximiza ingresos, optimiza distribución de crédito y seguros. Aplicamos el mismo modelo con créditos hipotecarios y de libre inversión. // Línea B2C; asesoramos a personas gratis y buscamos la mejor opción de crédito para auto, vivienda y libre inversión.",2018,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
Invest Latam,www.investlatam.com,Business Lending,Argentina,Peer to peer for Business Loans,2018,Growth and Expansion,200000,Seed
DO IT,http://doit.poincenot.com/,Digital Banks,Argentina,"Do·it es una solución omnicanal de marca blanca que mejora y potencia la experiencia de tu usuario de Home Banking, integrando operaciones, consultas y servicios en un espacio innovador.",2015,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
Elemento Alpha,http://elementoalpha.com/,Wealth Management,Colombia,"Elemento Alpha es el brazo cuantitativo de entidades adminsitradoras de fondos de inversión. A partir del uso de herramientas tecnológicas acompañamos en la construcción de portafolios de referencia y portafolios estratégicos, alineados con la oferta de valor, perfil de riesgo y las expectativas económicas del equipo gestor.",2019,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
POS MOVIL,www.posmovil.com,Business Lending,Guatemala,"Conectamos a personas que quieren hacer realidad sus metas, con personas que quieren hacer crecer su dinero.",2011,Beta Version ready for Commercial Release,250000,Seed
Factura Facíl,www.facturafacil.com.pe,Enterprise Financial Management,Peru,Facturación Electronica para Pymes sin complicaciones tributarias.,2013,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
Facturapi,www.facturapi.io,Enterprise Financial Management,Mexico,Automated invoicing services for fast growth companies,2019,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
ALAPAR,www.alapar.com.gt,Business Lending,Guatemala,Mortage based peer to peer lending,2015,Ready to Scale,250000,Pre-Seed
HashInvest Capital Gestora De Recursos Ltda,www.hashinvest.com.br,Wealth Management,Brazil,Investimento simples e seguro em Criptomoedas,2017,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
Inixar,Http://www.inixar.com,Crowdfunding,Mexico,Plataforma de Crowdfunding de donación y recompensa para impulso y fondeo de iniciativas,2013,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
KAIAM,http://kaiam.poincenot.com/,"Scoring, Identity & Fraud",Argentina,"La plataforma para conocer mejor a tus clientes,con enfoque basado en riesgo y monitoreo de transacciones.",2019,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
KALMY,https://www.kalmy.mx/,Insurance,Mexico,broker digital de seguros especializado en salud,2019,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
KeyEx,Www.keyex.pe,Trading & Capital Markets,Peru,"Plataforma para negociar tasa de cambio de dólares, y realizar la operación por transferencia bancaria",2017,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
Livees Checkout,https://livees.net/liveescheckout,Payments & Remittances,Bolivia,ecommerce payments,2015,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
LivPagamentos,www.livcard.com.br,Digital Banks,Brazil,We are really bridging unbanked people and payments market.,2014,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
Antecipa Fácil,https://antecipafacil.com.br/,Business Lending,Brazil,Invoice discount marketplace,2016,Ready to Scale,250000,Pre-Seed
Lendera Crowdfunding,www.lendera.mx,Business Lending,Mexico,"Plataforma de crowdleasing, p2b2b",2016,Growth and Expansion,300000,Venture Capital / CVC
LENMI,lenmi.mx,Business Lending,Mexico,Empresa de beneficios financieros para empleados. Pueden solicitar 1 mes de nómina y diferirlo a 3 y 6 meses.,2017,Growth and Expansion,350000,Pre-Seed
Paretix Brazil,www.paretix.com,"Scoring, Identity & Fraud",Brazil,"Instant Digital Credit Analysis, Score and Concession",2019,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
Paymovil by Bwise,www.paymovil.com.ec,Enterprise Technology for Financial Institutions,Ecuador,Habilitar la recepción de cobro con tarjetas en los pequeños comercios de la base de la piramide,2020,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
PAYVALIDA,www.payvalida.com,Digital Banks,Colombia,Empresa dedicada a transacciones de pagos y recaudos para la democratizacion e inclusión digital,2011,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
Rentax.co,www.rextax.co,Personal Financial Management,Colombia,Vendemos inversiones por internet,2017,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
Risk Monitor,www.riskmonitor.co,"Scoring, Identity & Fraud",Colombia,Soluciones para empresas que otorgan créditos.,2017,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
PuntoComRent,PuntoComRent.com,Business Lending,Peru,Leasing y alquiler de laptops para empresas,2010,Growth and Expansion,350000,Venture Capital / CVC
SUMA México,https://sumamexico.com,"Scoring, Identity & Fraud",Mexico,End-to-end Identity Verification as a Service,2013,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
Symbiotic,www.symbiotic.com,Payments & Remittances,Costa Rica,Symbiotic desarrolla soluciones tecnologicas de Medios de pago y tecnología movil de IOT & AI,2016,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
T&E Express,tyeexpress.com,Enterprise Financial Management,Argentina,T&E Express ayuda a las empresas y a sus empleados en el circuito de solicitud de anticipos y rendición de gastos,2011,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
Tag Money,www.tagmoney.com.br,Enterprise Technology for Financial Institutions,Brazil,"Compra, gestão e vendas de ativos financeiros diversos",2019,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
WAN,wan.am,Insurance,Uruguay,Plataforma venta de seguros y servicios financieros online mobile,2015,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
zoOmpay,zoOmpay.com.br,Payments & Remittances,Brazil,Meio de pagamentos,2018,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
WINGOO SERVIÇOS S A,www.wingoo.com.br,Payments & Remittances,Brazil,"Ecossistema Digital de Negócios para oferta e venda de bens de consumo e serviços visando a captação, retenção e fidelização de clientes finais utilizando mecanismos de Cashback e pagamentos eletrônicos instantâneos.",2016,Launched,1000,Seed
FIDO,www.fido.mx,Personal Financial Management,Mexico,Creamos el primer Escrow Digital que protege las operaciones de compraventa entre particulares,2018,Beta Version ready for Commercial Release,2000,Pre-Seed
mercofact.com,www.mercofact.com,Business Lending,Dominican Republic,Mercado de Comercio Electrónico de Factoring,2008,Growth and Expansion,385000,Venture Capital / CVC
Innova Factoring,https://innovafactoring.com,Business Lending,Peru,"Empresa FINTECH especializada en el factoring, brindando acceso a capital de trabajo para las MIPYME a través de la compra de sus facturas pendientes de cobro.",2015,Growth and Expansion,450000,Venture Capital / CVC
Multiverse Coin,www.multiversecoin.net,Payments & Remittances,Brazil,"Um super app para atender as dores e necessidade do cliente com um forte lado social onde parte do lucro é direcionado para fins sociais, educação, saúde e criação de empregos",2019,Concept/Idea,10000,Pre-Seed
Paynexus,www.paynexus.com,Payments & Remittances,Guatemala,Billetera electrónica vinculada al sistema bancario guatemalteco,2012,Launched,10000,Seed
MeXCo Soluciones,www.mexcosoluciones.com,Payments & Remittances,Mexico,We bridge the gap between fintech and low income communities through a salesforce of tech-enabled women over 40 that provide face to face onboarding of fintech products,2019,Ready to Scale,14000,Pre-Seed
Tukuy Club,https://tukuy.club,Payments & Remittances,Peru,"Ofrecemos links de pago para que negocios e independientes puedan cobrar por internet todas sus ventas, sin web ni app",2019,Launched,14705,Pre-Seed
ONHelp,onhelp.pe,Crowdfunding,Peru,ONHelp allows any company to fund charity projects without giving MONEY! and at the same time we improve the brand fidelity and the CSR area,2018,Beta Version ready for Commercial Release,15000,Pre-Seed
SharpShark,https://sharpshark.io/,Enterprise Technology for Financial Institutions,Chile,Intellectual property management on Blockchain,2020,Beta Version ready for Commercial Release,15000,Pre-Seed
Mujer Financiera,www.mujer-financiera.com,Personal Financial Management,Argentina,Plataforma digital de educación financiera para mujeres,2019,Demo/Prototype,15000,Pre-Seed
REDTRIUNFA,www.redtriunfa.com,Payments & Remittances,Mexico,Pagos eléctrinicos para microempresas en zonas semi-urbanas y rurales,2019,Demo/Prototype,15000,Pre-Seed
Inverkids,inverkids.mx,Personal Financial Management,Mexico,Financial literacy digital program for kids & teens.,2019,Launched,15000,Pre-Seed
PAGATUDEUDA,WWW.PAGATUDEUDA.COM,Personal Financial Management,Peru,SOLUCIONES A PROBLEMAS DE MORA,2017,Launched,15000,Pre-Seed
CHITA,WWW.CHITA.CL,Business Lending,Chile,LIQUIDEZ RÁPIDA 100% ONLINE PARA PYMES,2016,Growth and Expansion,500000,Venture Capital / CVC
SINCONTA,sinconta.com,Personal Financial Management,Mexico,Declaraciones de impuestos y Contabilidad de personas físicas en segundos y automatizada,2017,Ready to Scale,15000,Pre-Seed
BeeTech,www.beetech.global,Payments & Remittances,Brazil,Connecting companies and individuals with their global financial needs.,2016,Growth and Expansion,16000,Venture Capital / CVC
Billex,www.billex.pe,Trading & Capital Markets,Peru,Marketplace de intercambio de divisas,2016,Growth and Expansion,16000,Pre-Seed
SCORCE,http://www.scorce.io,"Scoring, Identity & Fraud",Mexico,Motor de prevencion de fraudes y enriquecimiento de base de datos,2019,Launched,16500,Pre-Seed
Eco Banco del Estudiante Bartselana,www.bancodelestudiante.org,Digital Banks,Peru,"Somos un banco cooperativo para niños y jóvenes, en donde les enseñamos de manera practica, vivencial y lúdica, basado en la experiencia, Educación Financiera, Emprendimiento y cuidado de nuestro medio ambiente, para este fin creamos nuestra ""Eco Moneda"", los residuos sólidos generados en el hogar y el colegio; promovemos el uso de la tecnología financiera, con el fin de formar ciudadanos ""fintech"" responsables con su ambiente y su comunidad-",2012,Growth and Expansion,19300,Venture Capital / CVC
e4Cash,http://www.e4cash.com,Payments & Remittances,Venezuela,"e4Cash. Es una Fintech para realizar pagos y transferencias, basados en la integración de distintos canales y servicios y el uso de la tecnología Blockchain",2015,Beta Version ready for Commercial Release,20000,Seed
Libre,www.libre.com.pe,Personal Financial Management,Peru,"Fintech que trabaja en alianza con empresas dispuestas a mejorar la salud financiera de sus colaboradores, brindándoles la posibilidad de retirar su sueldo ya trabajado cuando lo necesiten, sin esperar el día de pago.",2020,Beta Version ready for Commercial Release,20000,Pre-Seed
Te damos lana,Www.tedamoslana.com.mx,Business Lending,Mexico,Somos un grupo de emprendedores enfocados a renovar la educación financiera en todo México a través de nuestra plataforma tecnológica.,2011,Growth and Expansion,500000,Venture Capital / CVC
Bisnesito,www.bisnesito.com,Enterprise Financial Management,El Salvador,Bisnesito es la aplicación para el registro y administración de las finanzas que facilita el manejo de tu negocio. El ERP de bolsillo.,2020,Launched,20000,Pre-Seed
UnPago,www.unpago.mx,Payments & Remittances,Mexico,"UnPago es una app, en la cual puedes pagar y cobrar con tu celular inteligente sin necesidad de tener cuentas bancarias",2017,Launched,20000,Seed
Cambiame,https://cambiame.uy,Personal Financial Management,Uruguay,"Sabias que hay otra persona que tiene la moneda que necesitas cambiar ? Cambia con ella, usa cambiame.uy !",2018,Ready to Scale,20000,Pre-Seed
Securex,www.securex.pe,Trading & Capital Markets,Peru,Somos una fintech que brinda el servicio de compra y venta de divisas online más completo del mercado.,2017,Ready to Scale,20000,Venture Capital / CVC
Billy,https://billy.com.co/,Business Lending,Colombia,A web platform where small and medium enterprises (SMEs) generate and receive electronic invoices and offer them to potential buyers through supply chain finance in a competitive market mechanism.,2017,Ready to Scale,500000,Pre-Seed
Clipp - Kradac,http://clipp.eco,Payments & Remittances,Ecuador,"Clipp es una plataforma intermodal de transporte que esta digitalizando los pagos en cada medio de transporte de la ciudad taxi, bus, bicicleta, scooter",2010,Launched,25000,Seed
METROS CUADRADOS,www.metroscuadrados.com.py,Crowdfunding,Paraguay,Plataforma digital de crowdfunding inmobiliario,2015,Ready to Scale,25000,Pre-Seed
NoTeCuelgues.com,www.notecuelgues.com,Personal Financial Management,Colombia,Compra de Cartera Hipotecaria,2013,Ready to Scale,25000,Seed
Youles,youles.mx,Personal Financial Management,Mexico,Realtime feedback human financial advisor supported by AI,2019,Ready to Scale,25000,Pre-Seed
flotify,flotify.mx,Insurance,Mexico,Primer multi-cotizador y administrador de pequeñas flotillas (2-99 vehículos),2019,Demo/Prototype,30000,Pre-Seed
investopi,WWW.INVESTOPI.COM,Personal Financial Management,Colombia,Escuela de inversiones para no financieros,2015,Growth and Expansion,30000,Pre-Seed
Cobrotech SpA,https://cobrotech.com/,Enterprise Financial Management,Chile,Aplicación de Gestión de Cobranza automática omnicanal con conciliación automática e inteligencia Artificial,2018,Ready to Scale,30000,Pre-Seed
Intelligent Trading Machines,http://www.itrmachines.com/,Trading & Capital Markets,Colombia,"ITRMachines es una plataforma SaaS B2B que provee soluciones de inversión autónoma apalancadas en IA&ML, ajustadas al apetito de riesgo del cliente.",2016,Ready to Scale,30000,Pre-Seed
Kinvo,Www.kinvo.com.br,Personal Financial Management,Brazil,Ajudamos o investidor a melhorar o resultado de seu investimentos,2018,Growth and Expansion,35000,Seed
PaySur,http://paysur.com/,"Scoring, Identity & Fraud",Argentina,Plataforma de inclusión financiera orientada al scoring alternativo,2019,Launched,35000,Seed
Betriax,https://www.betriax.com,Trading & Capital Markets,Colombia,Spot Foreign Exchange Market for Micro & SME in Latin America,2018,Beta Version ready for Commercial Release,40000,Venture Capital / CVC
SEIF,seif.io,Enterprise Technology for Financial Institutions,Mexico,"Plataforma de blockchain as a service, con soluciones basadas en contratos inteligentes",2018,Beta Version ready for Commercial Release,40000,Pre-Seed
Movizzon,www.movizzon.com,Enterprise Technology for Financial Institutions,Colombia,"A través de una plataforma totalmente robotizada y con inteligencia artificial, en Movizzon simulamos la navegación manual en canales digitales con el objetivo de medir y optimizar la experiencia del usuario.",2015,Growth and Expansion,40000,Pre-Seed
PixelPay,www.pay.pixel.hn,Payments & Remittances,Honduras,We are an online payment gateway with 3DS EMV,2017,Growth and Expansion,40000,Seed
FintechLab,https://fintechlab.la/,Enterprise Technology for Financial Institutions,Peru,"Fintech Lab es una empresa de tecnología financiera. Cuenta con operaciones de remesas, tarjeta de crédito y crowdfunding.",2017,Ready to Scale,40000,Pre-Seed
Distrito Pyme,www.distritopyme.com,Business Lending,Mexico,"Conectamos a Pymes en busca de Crédito con diferentes alternativas de financiamiento. Una Solicitud, todos los Bancos y Financieras.",2017,Growth and Expansion,600000,Venture Capital / CVC
TASATOP,WWW.TASATOP.COM,Personal Financial Management,Peru,Marketplace de inversiones,2016,Growth and Expansion,45000,Pre-Seed
AXS Fund,axsfund.com,Crowdfunding,Costa Rica,AXS Fund es una plataforma de financiación colectiva para inversiones en equity.,2019,Beta Version ready for Commercial Release,50000,Seed
EmTech,www.emtechadhocserv.com,Digital Banks,Mexico,Democratizando CoDi y pagos digitales en los comercios de la base de la pirámide,2018,Beta Version ready for Commercial Release,50000,Pre-Seed
YaPago,Https://www.yapago.com.ar,Payments & Remittances,Argentina,Gateway y agregador de tarjetas de crédito no bancarias,2017,Beta Version ready for Commercial Release,50000,Venture Capital / CVC
MiFinanzas,https://micheque.uy,Business Lending,Uruguay,Marketplace de cheques y facturas para PYMEs e inversores,2016,Growth and Expansion,630000,Seed
iBAN ONLINE,www.ibanonline.com,Crowdfunding,Dominican Republic,"Plataforma tecnológica que realiza referimientos de créditos hipotecarios, colocando a personas con entidades que le puedan facilitar un crédito.",2019,Growth and Expansion,50000,Seed
2LINK,WWW.2LINK.COM.MX,Payments & Remittances,Mexico,Desarrollamos servicios digitales para pequeñas y medianas empresas al rededor de productos asociados al medio de pago,2013,Launched,50000,Venture Capital / CVC
Qualus,www.qualusmanager.com,Enterprise Financial Management,Peru,Con Qualus Manager maneja tus números sin el estrés Excel,2017,Launched,50000,Pre-Seed
TuCuota,https://www.tucuota.com/,Enterprise Financial Management,Argentina,Plataforma online para la gestión eficiente de cobros recurrentes,2019,Launched,50000,Pre-Seed
Delta Protect,deltaprotect.co,"Scoring, Identity & Fraud",Mexico,"Delta Protect is a Cybersecurity company. We offer the highest standards in the market, reducing the risk that the infrastructure, applications and systems of our customers. We know the cybersecurity methods necessary to make our clients the safest in the market. Most of our clients are Fintech & Crowdfunding companies",2019,Ready to Scale,50000,Pre-Seed
Latin Fintech,www.latinfintech.com,Business Lending,Peru,We provide online consumer loans,2015,Growth and Expansion,660000,Seed
Fortesza,https://fortesza.com/dashboard/home,Digital Banks,Panama,"Banco Digital de segundo piso para inversionistas y originadores de crédito, brindando una oportunidad de inversión directa y líquida en activos, a través de nuestra plataforma digital en Latinoamérica.",2017,Ready to Scale,50000,Seed
invuelto,invuelto.com,Personal Financial Management,Argentina,Invuelto is a virtual piggy bank where anyone can save money in an automatic and effortless way,2018,Ready to Scale,50000,Pre-Seed
Swap,swapme.mx,Payments & Remittances,Mexico,"Swap is a P2P payment app to send money to anyone on your contact list, any bank account and any debit card number.",2015,Ready to Scale,50000,Seed
Vaki,www.vaki.co,Crowdfunding,Colombia,Plataforma para campañas que buscan financiarse con müüüchas personas.,2016,Ready to Scale,50000,Pre-Seed
Facturedo,http://facturedo.com/,Business Lending,Mexico,Latam's Invoice discounting marketplace,2016,Ready to Scale,800000,Venture Capital / CVC
AGROUNE,http://agroune.com/,Crowdfunding,Colombia,"conectamos el campo con la ciudad por medio de inversiones que impacten y transformen la agricultura, invirtiendo y conectando inversores de la ciudad con agricultores que necesiten capital para sus emprendimientos agrícolas de primero, segundo o tercer escalón, los asesoramos y acompañamos durante todo el proceso y apoyamos la comercialización de su producto, esto sumado a la creación de una red de colaboración agrícola y un sistema de capacitación en emprendimiento y negocios agrícolas",2019,Ready to Scale,51000,Pre-Seed
Welten Fintech,Welten.cl,Digital Banks,Chile,"Desarrollo de tecnologias financieras, con especializacion en tecnologia Blockchain",2017,Concept/Idea,52000,Venture Capital / CVC
Pimes,www.pimes.com,Business Lending,Colombia,"Online lender for SMEs in the ""missing middle"" in Colombia",2017,Ready to Scale,1000000,Seed
AGENTE CASH,WWW.AGENTECASH.COM,Enterprise Technology for Financial Institutions,Peru,"AGENTE CASH, FINTECH QUE PROMUEVE LA INCLUSIÓN SOCIAL OFRECIENDO SERVICIOS FINANCIEROS DE RECAUDACIÓN EN ZONAS RURALES.",2017,Growth and Expansion,54000,Venture Capital / CVC
Rapidoo,www.rapidoo.com.br,Business Lending,Brazil,Receivables Platform for Small PMEs,2016,Ready to Scale,1000000,Venture Capital / CVC
ID Payer,www.idpayer.com,Enterprise Technology for Financial Institutions,Ecuador,"Plataforma para la inclusión financiera que incluye: billetera móvil, validación biométrica, corresponsalía digital y sistemas POS",2019,Beta Version ready for Commercial Release,60000,Pre-Seed
Mobilbox,www.mobilbox.mobi,Enterprise Technology for Financial Institutions,Chile,"Mobilbox ofrece servicios integrales de consultoría de procesos y tecnología para llevar a cabo procesos de transformación digital en Bancos, corporaciones e instituciones públicas",2013,Growth and Expansion,60000,Pre-Seed
Invoop,www.invoop.com,Trading & Capital Markets,Brazil,Invoop's platform connects investors with growing businesses and small & medium enterprises.,2015,Ready to Scale,62500,Pre-Seed
KAYUM,kayum.mx,Insurance,Mexico,PRICE TRANSPARENCY FOR CONSUMERS AND INSURERS,2017,Growth and Expansion,65000,Pre-Seed
Medicinae Solutions,https://medicinaesolutions.com/,Business Lending,Brazil,Medicinae empowers doctors and small clinics to choose when and how to receive their payments.,2016,Launched,1100000,Seed
Tanken,tanken.mx,Enterprise Financial Management,Mexico,"Tanken es el Tag de la gasolina. Eliminamos el uso de tarjetas, vales y efectivo en las estaciones de servicio",2017,Beta Version ready for Commercial Release,75000,Pre-Seed
ABL Capital,www.abl-capital.com,Business Lending,Colombia,ABL Capital se enfoca en apoyar a las PYMES de Colombia mediante financiación a través de créditos digitales de capital de trabajo u operaciones de factoring,2017,Ready to Scale,1250000,Pre-Seed
Troco Simples,www.trocosimples.com.br,Payments & Remittances,Brazil,"We aid retailers with a solution to deliver change in a digital way to their consumers. Additionally, we are developing a solution that enable customers to withdraw cash direct at retailers.",2016,Ready to Scale,80000,Venture Capital / CVC
Agrapp,https://agrapp.co/,Crowdfunding,Colombia,Plataforma web que financia proyectos agricolas,2018,Launched,90000,Pre-Seed
Hackmetrix,www.hackmetrix.com,"Scoring, Identity & Fraud",Chile,Apoyamos a las Fintech a cumplir con las regulaciones de ciberseguridad,2018,Ready to Scale,90000,Pre-Seed
Rextie,www.rextie.com,Trading & Capital Markets,Peru,Rextie es una plataforma de cambio de divisas para PYMES,2016,Growth and Expansion,95000,Seed
InQube LATAM,http://www.inqube.biz/latam/,Enterprise Technology for Financial Institutions,Peru,Desarrollo de soluciones Agritech y Fintech para mejorar la vida de los campesinos peruanos,2018,Demo/Prototype,98000,Venture Capital / CVC
CFOremoto,www.cforemoto.com,Enterprise Financial Management,Chile,Plataforma que empodera a las PYMES hacia el financiamiento,2015,Beta Version ready for Commercial Release,100000,Pre-Seed
Abaqus,abaqus.cl,Wealth Management,Chile,"The technological deficiencies of the financial industry generate higher costs, less scalability and adoption difficulties. In Abaqus we are focused on reinventing finance, generating B2B and B2C solutions that allows them to reach a new technological standard.",2015,Growth and Expansion,100000,Pre-Seed
ASSESSOR,www.assessorperu.com,Trading & Capital Markets,Peru,"Cambio de Divisas, y prontamente Lending, Factoring y otros servicios",2019,Growth and Expansion,100000,Seed
QuePlan,https://queplan.cl,Insurance,Chile,QuePlan permite comparar la mejor cobertura en Salud de forma online.,2017,Growth and Expansion,100000,Pre-Seed
Impar capital,Www.imparcapital.com.br,Wealth Management,Brazil,Empower people in their relationship with money,2019,Launched,100000,Seed
Zcanit,www.zcanit.co,Enterprise Financial Management,Mexico,"Con Zcanit app, podrás emitir y recibir facturación de forma automática, solo escanea tu codigo QR y olvidate de perder tiempo y dinero.",2018,Launched,100000,Venture Capital / CVC
Artificial Nerds,nerds.ai,Enterprise Technology for Financial Institutions,Mexico,"Mejoramos la relación de las empresas con sus clientes y creamos nuevos canales de venta a través de Chatbots, Socialbots y Voicebots.",2017,Ready to Scale,100000,Seed
Btrader,https://www.btrader.io/,Trading & Capital Markets,Argentina,b·trader es una plataforma bursátil marca blanca pensada para el crecimiento de tu compañía financiera,2019,Ready to Scale,100000,Pre-Seed
Cajero,cajero.co,Payments & Remittances,Colombia,IT and Financial Services for Small merchants/Professionals,2019,Ready to Scale,100000,Pre-Seed
DataFierce,WWW.DATAFIERCE.COM,Enterprise Financial Management,Mexico,DataFierce is an enterprise software-as-a-service (SAAS) platform that helps small and medium businesses in Mexico to control and integrate their operations and finances in a single place,2015,Ready to Scale,100000,Seed
RedCapital,www.redcapital.cl,Business Lending,Chile,"RedCapital es una de las plataformas digitales de financiamiento más grandes de Latinoamérica, que mediante el financiamiento colectivo de préstamos (crowdfunding) permite a Pymes conseguir capital en buenas condiciones.",2015,Growth and Expansion,1300000,Venture Capital / CVC
Güeno,www.gueno.com,"Scoring, Identity & Fraud",Argentina,We help companies from different segments to onboard new customers via social media and messaging platforms.,2018,Ready to Scale,100000,Pre-Seed
moyoAI,https://www.moyoai.com,"Scoring, Identity & Fraud",Mexico,Score crediticio innovador y alternativo al método de evaluación de riesgo tradicional. #inclusion #financiera,2019,Ready to Scale,100000,Seed
Organizame,www.organizame.cl,Enterprise Financial Management,Chile,Solución de administración financiera para mipes,2014,Ready to Scale,100000,Pre-Seed
Crediplaza,www.crediplaza.com.pe,Business Lending,Peru,Adelanto de facturas en el sector retail viviendo una experiencia 100% digital.,2019,Beta Version ready for Commercial Release,2000000,Venture Capital / CVC
Custodian,getcustodian.com,Insurance,Mexico,"Gestionamos siniestros de seguro de auto para transformar experiencias frustrantes a resoluciones ágiles, transparentes y sin esfuerzo. Con un ecosistema que conecta lo mejor de las personas y la tecnología, vas a poder regresar a la normalidad lo antes posible.",2018,Launched,120000,Pre-Seed
QUINCELANA,www.quincelana.com,Personal Financial Management,Mexico,"somos el 911 de tu economia, 24/7 puedes adelanytar tu nomina",2017,Growth and Expansion,125000,Pre-Seed
KONTIGO,https://www.kontigo.pe,Enterprise Technology for Financial Institutions,Peru,Desarrollamos Canales digitales a empresas financieras para que puedan otorgar préstamos en línea,2016,Ready to Scale,125000,Seed
CloudBiz,www.micloudbiz.com,Enterprise Financial Management,Honduras,Simplifying financial business life in LATAM,2017,Ready to Scale,140000,Pre-Seed
Duemint,www.duemint.com,Enterprise Financial Management,Chile,"Duemint automates the whole process of accounts receivable; from billing to online payment, with a simple, powerful, and effective platform",2016,Growth and Expansion,150000,Seed
Kambista,www.kambista.com,Enterprise Technology for Financial Institutions,Peru,First digital exchange platform in Peru,2017,Growth and Expansion,150000,Seed
MiBolsillo,mibolsillo.pe,Personal Financial Management,Peru,We digitalize financial behaviors and tasks to build digital financial identity towards a generation with less human intervention and reduced transaction costs for all. All of this to bring 7 million people to the formal economy in the next 3 years.,2018,Growth and Expansion,150000,Venture Capital / CVC
Prezzta,www.prezzta.com,Enterprise Technology for Financial Institutions,Uruguay,"Plataforma para la originación y gestión de préstamos de última generación, enfocada en pequeños y medianos prestamistas, con un modelo de negocios de software as a service",2015,Growth and Expansion,150000,Venture Capital / CVC
Doble Impacto SpA,dobleimpacto.cl,Business Lending,Chile,Impact first crowdlending platform.,2018,Growth and Expansion,3000000,Venture Capital / CVC
Mobbex,Mobbex.com,Payments & Remittances,Argentina,Ayudamos a los comercios a vender más aceptando tarjetas de manera presente y no presente,2018,Launched,150000,Pre-Seed
AlmaFintech,www.almafintech.com.ar,Trading & Capital Markets,Argentina,"Algorithmic Trading & Market Maker company. We work at the intersection between Technology, Finance and Innovation",2018,Ready to Scale,150000,Venture Capital / CVC
Aspiria,https://www.aspiria.mx/home,Business Lending,Mexico,Incrementando Acceso a Capital para los Negocios en México,2013,Growth and Expansion,4500000,Venture Capital / CVC
ERPyme,www.erpyme.cl,Enterprise Financial Management,Chile,Es un software gratuito de facturación y gestión financiera para Pymes con pasarela de pagos integrada e implementación en sólo 60 segundos.,2018,Growth and Expansion,160000,Venture Capital / CVC
Übank,Getubox.com,Enterprise Technology for Financial Institutions,Chile,Ecosystem of automated white labeled personal finance tools for financial institutions,2017,Growth and Expansion,160000,Seed
Salud Facil,www.saludfacil.org,Business Lending,Mexico,Marketplace de financiamiento de créditos para la salud y equipo médico,2013,Growth and Expansion,12000000,Venture Capital / CVC
LISA Insurtech,https://www.lisainsurtech.com,Insurance,Chile,"We settle insurance claims automatically, using IA & Blockchain, saving 80% of time and 60% of the cost. Improving in 20% the NPS of the insurers.",2019,Growth and Expansion,175000,Pre-Seed
Imix,www.corresponsales.digitales,Enterprise Technology for Financial Institutions,Colombia,Corresponsales Digitales,2011,Launched,175000,Pre-Seed
Visor ADL,Www.visor.io,Business Lending,Mexico,The cash management and financing platform for SME,2014,Growth and Expansion,13000000,Venture Capital / CVC
Finaktiva,https://finaktiva.com/,Business Lending,Colombia,Plataforma fintech de financiamiento a empresas en etapas tempranas,2017,Growth and Expansion,15000000,Venture Capital / CVC
Alfi,Soyalfi.com,Personal Financial Management,Peru,"Marketplace de productos financieros con base en educación financiera, gamificación y behavioral economic",2019,Ready to Scale,190000,Pre-Seed
OMNIBNK,WWW.OMNIBNK.COM,Business Lending,Colombia,Giving SME access to working capital they need to thrive.,2016,Growth and Expansion,20000000,Venture Capital / CVC
BizCapital,www.bizcapital.com.br,Business Lending,Brazil,Provide working capital loans to SMBs in Brazil,2016,Growth and Expansion,30000000,Venture Capital / CVC
